Rank,Name,City,State,category,Student_Population,Total_Annual_Cost
1,1,51,4,1,31120.0,69600.0
2,164,385,2,1,17534.0,69109.0
3,432,347,25,1,12974.0,71290.0
4,433,51,4,1,11466.0,67430.0
5,434,346,20,1,8273.0,66150.0
6,435,18,3,1,25367.0,71715.0
7,436,17,29,1,10095.0,71050.0
8,437,345,2,1,2238.0,68901.0
9,438,99,12,1,16130.0,71764.0
10,431,98,43,1,6509.0,71827.0
11,439,94,1,1,23016.0,70321.0
12,441,8,2,1,1665.0,69725.0
13,442,344,2,2,41891.0,65003.0
14,443,1,1,1,30454.0,74199.0
15,444,5,35,1,19005.0,71580.0
16,445,6,7,1,16227.0,75735.0
17,446,343,7,1,22008.0,72980.0
18,447,87,11,1,12467.0,69395.0
19,440,342,4,1,2227.0,70650.0
20,430,341,13,2,46002.0,62176.0
21,429,32,6,1,7022.0,63158.0
22,428,14,14,1,25151.0,69863.0
23,411,8,2,1,861.0,74428.0
24,412,88,14,2,4526.0,0.0
25,413,340,3,1,1630.0,68846.0
26,414,339,31,1,1965.0,68070.0
27,415,11,15,1,12592.0,67392.0
28,416,29,4,1,1945.0,71300.0
29,417,8,2,1,1364.0,71745.0
30,418,2,2,1,45687.0,72209.0
31,419,7,19,1,15303.0,71975.0
32,420,337,1,2,4568.0,0.0
33,421,327,8,2,24360.0,62633.0
34,422,336,4,1,11449.0,70600.0
35,423,1,1,1,51123.0,71790.0
36,424,335,37,1,3855.0,69464.0
37,425,27,3,1,13869.0,70094.0
38,426,2,2,2,44027.0,61915.0
39,427,334,31,1,1905.0,68870.0
40,448,333,25,1,3213.0,69935.0
41,449,332,4,1,14628.0,70588.0
42,450,9,8,1,2220.0,65950.0
43,470,22,21,2,4276.0,0.0
44,472,331,4,1,2688.0,69034.0
45,473,330,12,2,29911.0,51152.0
46,474,329,1,1,3025.0,69860.0
47,475,328,8,2,8740.0,59012.0
48,476,348,12,1,1959.0,66678.0
49,477,338,3,1,1326.0,71614.0
50,478,1,1,1,2668.0,71282.0
51,471,349,2,1,8629.0,69439.0
52,479,96,10,1,2155.0,68835.0
53,481,95,25,2,1044.0,0.0
54,482,8,2,1,1087.0,70500.0
55,483,3,16,1,14263.0,66950.0
56,484,91,12,1,8116.0,69130.0
57,485,90,3,1,2594.0,68640.0
58,486,1,1,1,946.0,65045.0
59,487,30,1,1,2043.0,67670.0
60,480,8,2,1,1092.0,71060.0
61,469,89,1,1,2572.0,70370.0
62,460,362,4,1,3329.0,68432.0
63,468,371,14,2,40521.0,49698.0
64,452,28,23,2,46166.0,51159.0
65,453,3,16,2,29376.0,49366.0
66,454,370,1,2,975.0,8646.0
67,455,97,3,1,7017.0,65925.0
68,456,369,7,2,48216.0,46202.0
69,457,85,18,2,42977.0,49885.0
70,458,368,9,2,52669.0,43409.0
71,451,367,5,1,1795.0,69180.0
72,459,366,3,1,10967.0,68231.0
73,461,365,3,1,3740.0,70125.0
74,462,4,4,1,33355.0,70302.0
75,463,364,31,1,2032.0,68582.0
76,464,93,6,2,51525.0,51786.0
77,465,10,4,1,2855.0,66220.0
78,466,5,35,1,27973.0,69368.0
79,467,15,2,2,35772.0,60177.0
80,410,363,17,1,1765.0,66214.0
81,409,361,4,1,2918.0,69563.0
82,408,12,1,1,11648.0,70108.0
83,407,13,8,1,4023.0,64890.0
84,350,100,2,2,25057.0,64125.0
85,351,351,5,1,3030.0,71330.0
86,352,34,10,1,2249.0,66280.0
87,353,360,2,2,35242.0,61872.0
88,354,359,2,2,37380.0,63743.0
89,355,358,23,1,1574.0,64504.0
90,356,357,9,1,17003.0,66274.0
91,349,356,6,1,11789.0,72408.0
92,357,22,21,1,2450.0,68616.0
93,359,10,4,1,6642.0,65046.0
94,360,355,21,2,6209.0,52698.0
95,361,354,36,1,35807.0,18370.0
96,362,101,4,1,5721.0,70943.0
97,363,1,1,1,6330.0,60525.0
98,364,353,10,2,51848.0,39655.0
99,365,77,16,2,37606.0,44978.0
100,358,83,5,1,11824.0,65384.0
101,348,352,1,1,2835.0,69450.0
102,347,2,2,1,2123.0,71756.0
103,346,350,6,2,67929.0,53848.0
104,329,326,1,1,2267.0,68610.0
105,330,20,24,1,1490.0,69820.0
106,331,33,27,1,12384.0,69764.0
107,332,101,4,1,5543.0,66180.0
108,333,325,8,2,34440.0,44024.0
109,334,324,25,1,2401.0,71470.0
110,335,38,11,1,2254.0,65031.0
111,336,299,3,1,1640.0,68410.0
112,337,17,29,1,2440.0,67620.0
